year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes
2016,Kentucky,KY,21,61,51,US President,"Trump, Donald J.",republican,FALSE,1202971,1924149,20171015,NA
2016,Kentucky,KY,21,61,51,US President,"Clinton, Hillary",democrat,FALSE,628854,1924149,20171015,NA
2016,Kentucky,KY,21,61,51,US President,"Johnson, Gary",libertarian,FALSE,53752,1924149,20171015,NA
2016,Kentucky,KY,21,61,51,US President,"McMullin, Evan",independent,FALSE,22780,1924149,20171015,NA
2016,Kentucky,KY,21,61,51,US President,"Stein, Jill",green,FALSE,13913,1924149,20171015,NA
2016,Kentucky,KY,21,61,51,US President,"De La Fuente, Roque """"Rocky""""",american delta party,FALSE,1128,1924149,20171015,NA
2016,Kentucky,KY,21,61,51,US President,,,TRUE,751,1924149,20171015,NA
2016,New York,NY,36,21,13,US President,"Clinton, Hillary",democrat,FALSE,4379789,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,"Trump, Donald J.",republican,FALSE,2527142,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,"Trump, Donald J.",conservative,FALSE,292392,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,"Clinton, Hillary",working families,FALSE,140041,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,"Johnson, Gary",independence,FALSE,119156,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,"Stein, Jill",green,FALSE,107934,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,Blank Vote,,FALSE,77179,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,"Johnson, Gary",libertarian,FALSE,57442,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,Scattering,,FALSE,48447,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,"Clinton, Hillary",women's equality,FALSE,36294,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,,,TRUE,12816,7802084,20171015,NA
2016,New York,NY,36,21,13,US President,Void Vote,,FALSE,3452,7802084,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Trump, Donald J.",republican,FALSE,2970733,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Clinton, Hillary",democrat,FALSE,2926441,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Johnson, Gary",libertarian,FALSE,146715,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Stein, Jill",green,FALSE,49941,6115402,20171015,NA
2016,Pennsylvania,PA,42,23,14,US President,"Castle, Darrell L.",constitution party,FALSE,21572,6115402,20171015,NA
